PV;CV
30.91;10
30.91;10
30.92;10
30.92;10
30.92;10
30.92;10
31.71;10
31.71;10
31.71;10
31.71;10
31.71;10
31.71;10
31.71;10
31.71;10
31.71;10
31.72;10
31.21;10
31.21;10
31.21;10
31.21;10
31.21;10
31.21;10
31.21;10
31.21;10
31.21;10
31.21;10
31.35;10
31.35;10
31.36;10
31.36;10
31.36;10
31.36;10
31.36;10
31.36;10
31.36;10
31.36;10
30.84;10
30.84;10
30.84;10
30.84;10
30.84;10
30.84;10
30.85;10
30.85;10
30.85;10
30.85;10
31.16;10
31.16;10
31.16;10
31.16;10
31.16;10
31.16;10
31.16;10
31.16;10
31.16;10
31.16;10
31.04;10
31.05;10
31.05;10
31.05;10
31.05;10
31.05;10
31.05;10
31.05;10
31.05;10
31.05;10
31.02;10
31.02;10
31.02;10
31.02;10
31.02;10
31.02;10
31.03;10
31.03;10
31.03;10
31.03;10
30.82;10
30.82;10
30.82;10
30.82;10
30.82;10
30.82;10
30.82;10
30.82;10
30.82;10
30.82;10
30.96;10
30.96;10
30.97;10
30.97;10
30.97;10
30.97;10
30.97;10
30.97;10
30.97;10
30.97;10
30.97;10
30.97;10
30.97;10
30.97;10
30.97;10
30.97;10
30.97;10
30.97;10
30.97;10
30.98;10
31.7;10
31.7;10
31.7;10
31.7;10
31.7;10
31.7;10
31.7;10
31.7;10
31.7;10
31.7;10
30.86;10
30.86;10
30.86;10
30.86;10
30.86;10
30.86;10
30.87;10
30.87;10
30.87;10
30.87;10
31.64;10
31.64;10
31.64;10
31.64;10
31.64;10
31.64;10
31.64;10
31.64;10
31.64;10
31.64;10
31.14;10
31.14;10
31.14;10
31.14;10
31.14;10
31.15;10
31.15;10
31.15;10
31.15;10
31.15;10
31.17;10
31.17;10
31.17;10
31.17;10
31.17;10
31.17;10
31.17;10
31.17;10
31.17;10
31.17;10
31.54;10
31.54;10
31.54;10
31.54;10
31.55;10
31.55;10
31.55;10
31.55;10
31.55;10
31.55;10
31.31;10
31.31;10
31.31;10
31.31;10
31.31;10
31.31;10
31.31;10
31.31;10
31.31;10
31.31;10
30.88;10
30.88;10
30.88;10
30.88;10
30.88;10
30.89;10
30.89;10
30.89;10
30.89;10
30.89;10
30.93;10
30.93;10
